City	Lat	Lng
Karachi	24.9056	67.0822
Lahore	31.549722	74.343611
Faisalabad	31.416667	73.083333
Serai	34.73933	72.335655
Rawalpindi	33.597331	73.047904
Multan	30.196789	71.478241
Gujranwala	32.155667	74.187052
Hyderabad City	25.396891	68.377183
Peshawar	34.008	71.578488
Abbottabad	34.1463	73.211684
Islamabad	33.69	73.0551
Quetta	30.184138	67.00141
Bannu	32.985414	70.602701
Bahawalpur	29.4	71.683333
Sargodha	32.083611	72.671111
Sialkot City	32.499101	74.52502
Sukkur	27.705164	68.857383
Larkana	27.558985	68.212035
Sheikhupura	31.713056	73.978333
Mīrpur Khas	25.5251	69.0159
Rahīmyar Khan	28.419482	70.302386
Kohat	33.581958	71.449291
Jhang Sadr	31.269811	72.316867
Gujrat	32.574204	74.075423
Bardar	34.163737	72.011571
Kasoor	31.115556	74.446667
Dera Ghazi Khan	30.056142	70.634766
Nawabshah	26.248334	68.409554
Okara	30.808056	73.445833
Gilgit	35.920007	74.313656
Chiniot	31.72	72.978889
Sadiqabad	28.30623	70.130646
Turbat	26.001224	63.048491
Dera Ismaīl Khan	31.832691	70.902398
Chaman	30.917689	66.45259
Zhob	31.340817	69.449304
Mehra	34.312817	73.220525
Parachinar	33.895672	70.098875
Gwadar	25.12163	62.325411
Kundian	32.457747	71.478918
Shahdad Kot	27.847263	67.906789
Harīpur	33.999967	72.934093
Matiari	25.59709	68.4467
Dera Allahyar	28.373529	68.350778
Lodhran	29.540507	71.63357
Batgram	34.679637	73.026299
Thatta	24.747449	67.923528
Bagh	33.981106	73.776084
Badīn	24.655995	68.836997
Mansehra	34.330232	73.196788
Ziarat	30.382444	67.725624
Muzaffargarh	30.072576	71.193788
Tando Allahyar	25.462626	68.719233
Dera Murad Jamali	28.546568	68.223081
Karak	33.116334	71.093536
Mardan	34.197943	72.04965
Uthal	25.807222	66.621944
Nankana Sahib	31.4475	73.697222
Barkhan	29.897727	69.525584
Hafizabad	32.067857	73.685449
Kotli	33.518362	73.902203
Loralai	30.370512	68.597949
Dera Bugti	29.036188	69.158493
Jhang City	31.305684	72.325941
Sahīwal	30.666667	73.1
Sanghar	26.046558	68.9481
Pakpattan	30.341044	73.386642
Chakwal	32.933376	72.858531
Khushab	32.296667	72.3525
Ghotki	28.00604	69.316077
Kohlu	29.896505	69.253235
Khuzdar	27.738385	66.643365
Awaran	26.456768	65.231436
Nowshera	34.015828	71.981232
Charsadda	34.148221	71.740604
Qila Abdullah	30.728035	66.661174
Bahawalnagar	29.998659	73.253604
Dadu	26.730334	67.776896
Lakki Marwat	32.607953	70.911416
Chilas	35.412867	74.104068
Pishin	30.581762	66.994061
Tank	32.217071	70.383154
Chitral	35.851802	71.786358
Qila Saifullah	30.700766	68.359843
Shikarpur	27.957057	68.637886
Panjgūr	26.971861	64.094594
Mastung	29.799656	66.845527
Kalat	29.026629	66.593607
Gandava	28.613207	67.485643
Khanewal	30.301731	71.932124
Narowal	32.1	74.883333
Khairpur	27.529483	68.761698
Malakand	34.565609	71.930432
Vihari	30.033333	72.35
Saidu Sharif	34.746548	72.355675
Jhelum	32.934484	73.731018
Mandi Bahauddīn	32.587037	73.491231
Bhakkar	31.625247	71.06574
Toba Tek Singh	30.974326	72.482694
Jamshoro	25.436078	68.280172
Kharan	28.584585	65.415007
Umarkot	25.36157	69.736241
Hangu	33.53198	71.059499
Timargara	34.826595	71.844226
Gakuch	36.176826	73.763834
Jacobabad	28.281873	68.437613
Mianwali	32.574095	71.526386
Mūsa Khel Bazar	30.859443	69.82208
Naushahro Fīroz	26.840104	68.122651
New Mīrpur	33.147815	73.751867
Daggar	34.511059	72.484375
Eidgah	35.347115	74.856317
Sibi	29.542989	67.87726
Dalbandīn	28.888456	64.406156
Rajanpur	29.103513	70.325038
Leiah	30.961279	70.939043
Upper Dir	35.207398	71.876801
Tando Muhammad Khan	25.123007	68.535773
Attock City	33.76671	72.359766
Rawala Kot	33.857816	73.760426
Swabi	34.120181	72.46982
Kandhkot	28.243963	69.182354
Dasu	35.291687	73.290602
Athmuqam	34.571733	73.897236
